800000,CIFAR10,SecMI,1,1,200,1,100,0.9628495789985874,0.9127600193023682,0.43375998735427856
800000,CIFAR10,PIA,1,1,200,1,100,0.9608292913566305,0.9106799960136414,0.44359999895095825
800000,CIFAR10,Naive,1,1,200,1,100,0.9054461950806327,0.8368399739265442,0.17591999471187592
800000,CIFAR10,PIAN,1,1,200,1,100,0.9547828487859576,0.9050400257110596,0.3628000020980835
800000,CIFAR10,SecMI,2,1,200,1,100,0.9632191232768118,0.9124799966812134,0.37856000661849976
800000,CIFAR10,Naive,2,1,200,1,100,0.9006957771998457,0.8321200013160706,0.13592000305652618
800000,CIFAR10,PIA,3,1,200,1,100,0.9605946054910653,0.9104400277137756,0.38071998953819275
800000,CIFAR10,PIA,2,1,200,1,100,0.9612153442186262,0.9097999930381775,0.40959998965263367
800000,CIFAR10,PIAN,3,1,200,1,100,0.9524317324616748,0.8995199799537659,0.33535999059677124
800000,CIFAR10,Naive,3,1,200,1,100,0.9060449484890832,0.8402000069618225,0.15160000324249268
800000,CIFAR10,PIAN,2,1,200,1,100,0.9523519594733133,0.9030799865722656,0.3091999888420105
800000,CIFAR10,SecMI,3,1,200,1,100,0.9618964986452925,0.9127600193023682,0.4293600022792816
800000,CIFAR10,ReDiffuse,1,1,200,1,100,0.970771307033883,0.9285600185394287,0.43432000279426575
800000,CIFAR10,ReDiffuse,2,1,200,1,100,0.9733191168284533,0.9292399883270264,0.4869599938392639
800000,CIFAR10,ReDiffuse,3,1,200,1,100,0.9717638562186653,0.9259200096130371,0.4906400144100189
